,condition,model_year,make,model,trim_level,list_price,exterior_color,interior_color,fwd_or_awd,hybrid_or_eco,mileage,dealer_address,date_parsed,url,data_source_name
15482,USED,2023,FORD,MAVERICK,XL,33499,Cactus,–,Front-wheel Drive,Hybrid,230,"9740 Adamo Dr Tampa, FL 33619",2023-06-08,http://cars.com///vehicledetail/fc8da2ce-303c-4b79-97de-d120e1f18544/,cars.com
15483,USED,2022,FORD,MAVERICK,LARIAT,34988,Blue,–,Front-wheel Drive,Hybrid,35249,"9751 Adamo Dr Tampa, FL 33619",2023-06-08,http://cars.com///vehicledetail/66bbb4f7-d29e-499c-8a7c-3ff9ca9c11bf/,cars.com
15484,USED,2023,FORD,MAVERICK,XLT,37995,Shadow Black,Navy Pier,All-wheel Drive,Gasoline,84,"9090 E Adamo Dr Tampa, FL 33619",2023-06-08,http://cars.com///vehicledetail/9a3c252b-8f17-4664-b20f-9eafdcaa3e3a/,cars.com
15485,USED,2023,FORD,MAVERICK,XLT,36456,Cyber Orange Metallic Tricoat,Black Onyx,All-wheel Drive,Gasoline,500,"5815 N Dale Mabry Hwy Tampa, FL 33614",2023-06-08,http://cars.com///vehicledetail/c5bcaf88-2df3-4454-b6fd-c763dd7c59ae/,cars.com
15486,USED,2022,FORD,MAVERICK,XLT,34441,Blue,Navy Pier,Front-wheel Drive,Gasoline,2224,"10909 North Florida Avenue Tampa, FL 33612",2023-06-08,http://cars.com///vehicledetail/0c61caf1-7ae0-4a6a-a8fc-6049ca1a0f4f/,cars.com
15487,CERTIFIED,2022,FORD,MAVERICK,XLT,38900,ICONIC SILVER METALLIC,NAVY PIER -MED SLATE TRIM,–,–,16937,"3004 East Avenue, Rt 49 Central Square, NY 13036",2023-06-08,http://cars.com///vehicledetail/a6dc22a9-6a17-42c7-9715-952f218fb3b4/,cars.com
15488,USED,2022,FORD,MAVERICK,XLT,36899,Blue,Navy Pier/Medium Slate,All-wheel Drive,Gasoline,11650,"45 Washington St Foxboro, MA 02035",2023-06-08,http://cars.com///vehicledetail/62f3234c-c654-4b46-ba63-4711ff5cfd6f/,cars.com
15489,USED,2022,FORD,MAVERICK,XL,30995,Oxford White,Black Onyx,Front-wheel Drive,Gasoline,38032,"10730 Hubler Drive Taylorsville, IN 47280",2023-06-08,http://cars.com///vehicledetail/3d78d6b4-8f7c-444a-b7ec-3bd7b1f355b0/,cars.com
15490,USED,2023,FORD,MAVERICK,XLT,38980,Alto Blue Metallic Tinted Clearcoat,Navy Pier,All-wheel Drive,Gasoline,180,"88 Turnpike Road Westboro, MA 01581",2023-06-08,http://cars.com///vehicledetail/6f055fad-89cf-4ab6-9828-3be43fec06e2/,cars.com
15491,USED,2022,FORD,MAVERICK,XLT,32590,White,Navy Pier,All-wheel Drive,Gasoline,34780,"135 Belmont St Easton, MA 02375",2023-06-08,http://cars.com///vehicledetail/94fc6abf-a7f5-4943-9071-eadf9f54a5a6/,cars.com
15492,USED,2023,FORD,MAVERICK,XL,33349,Oxford White,–,Front-wheel Drive,Hybrid,250,"9740 Adamo Dr Tampa, FL 33619",2023-06-08,http://cars.com///vehicledetail/d40a32a5-9c89-4c8d-bdca-f2fc5ef773d8/,cars.com
15493,USED,2023,FORD,MAVERICK,XLT,37950,Cactus Gray,Navy Pier/Medium Slate,Front-wheel Drive,Gasoline,41,"642 South 500 East American Fork, UT 84003",2023-06-08,http://cars.com///vehicledetail/1d8400b8-5c91-4866-9c08-05a849e20177/,cars.com
